parelleldata% stats
Sat Mar  2 12:44:56 2019    parelleldata

         12017511 function calls (11895731 primitive calls) in 25.282 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29999    0.071    0.000    0.198    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\thread_util.py:63(release)
    29999    0.133    0.000    0.195    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\message.py:1469(unpack)
    30003    0.068    0.000    0.185    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\periodic_executor.py:53(open)
    30001    0.043    0.000    0.185    0.000 D:\Python_3.7.0\lib\ntpath.py:201(splitext)
    30006    0.042    0.000    0.184    0.000 D:\Python_3.7.0\lib\asyncio\base_events.py:662(call_soon)
    29997    0.025    0.000    0.175    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\common.py:447(validate_is_document_type)
        1    0.000    0.000    0.167    0.167 D:\Python_3.7.0\lib\site-packages\pymongo\__init__.py:15(<module>)
    34/23    0.000    0.000    0.164    0.007 {built-in method builtins.__import__}
    10004    0.041    0.000    0.164    0.000 D:\Python_3.7.0\lib\selectors.py:319(select)
    29999    0.051    0.000    0.157    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:614(get_server_session)
    89997    0.132    0.000    0.153    0.000 D:\Python_3.7.0\lib\contextlib.py:81(__init__)
    30001    0.054    0.000    0.144    0.000 D:\Python_3.7.0\lib\collections\__init__.py:413(_replace)
    29999    0.044    0.000    0.141    0.000 D:\Python_3.7.0\lib\random.py:256(choice)
    30000    0.041    0.000    0.139    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology_description.py:187(known_servers)
    30006    0.060    0.000    0.134    0.000 D:\Python_3.7.0\lib\asyncio\base_events.py:691(_call_soon)
    30001    0.074    0.000    0.132    0.000 D:\Python_3.7.0\lib\genericpath.py:117(_splitext)
    30002    0.076    0.000    0.132    0.000 D:\Python_3.7.0\lib\ntpath.py:44(normcase)
      730    0.001    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      730    0.130    0.000    0.130    0.000 {built-in method nt.stat}
      180    0.001    0.000    0.125    0.001 <frozen importlib._bootstrap>:882(_find_spec)
      166    0.000    0.000    0.123    0.001 <frozen importlib._bootstrap_external>:1272(find_spec)
      166    0.001    0.000    0.122    0.001 <frozen importlib._bootstrap_external>:1240(_get_spec)
    89995    0.104    0.000    0.119    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:588(timed_out)
        1    0.000    0.000    0.119    0.119 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:15(<module>)
    29999    0.049    0.000    0.119    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:630(return_server_session)
      422    0.004    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    10004    0.015    0.000    0.117    0.000 D:\Python_3.7.0\lib\selectors.py:313(_select)
    30005    0.091    0.000    0.116    0.000 D:\Python_3.7.0\lib\ntpath.py:122(splitdrive)
    30001    0.063    0.000    0.116    0.000 D:\Python_3.7.0\lib\threading.py:1080(is_alive)
    30000    0.078    0.000    0.112    0.000 D:\Python_3.7.0\lib\threading.py:335(notify)
    89997    0.051    0.000    0.110    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:526(_in_transaction)
    30001    0.019    0.000    0.105    0.000 D:\Python_3.7.0\lib\logging\__init__.py:540(formatMessage)
  495/329    0.000    0.000    0.104    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    60002    0.049    0.000    0.103    0.000 D:\Python_3.7.0\lib\encodings\cp1252.py:18(encode)
    10004    0.102    0.000    0.102    0.000 {built-in method select.select}
    29999    0.040    0.000    0.096    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\server.py:136(get_socket)
    30000    0.042    0.000    0.094    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology_description.py:190(<listcomp>)
    29999    0.046    0.000    0.093    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:114(pop)
    30000    0.063    0.000    0.093    0.000 D:\Python_3.7.0\lib\random.py:224(_randbelow)
    30000    0.029    0.000    0.092    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:715(send_cluster_time)
    59998    0.044    0.000    0.090    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:638(_clear_stale)
    30001    0.026    0.000    0.090    0.000 D:\Python_3.7.0\lib\collections\__init__.py:403(_make)
    29998    0.057    0.000    0.088    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:1069(_check)
    30001    0.086    0.000    0.086    0.000 D:\Python_3.7.0\lib\logging\__init__.py:383(format)
    29999    0.045    0.000    0.083    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:185(<listcomp>)
    29999    0.053    0.000    0.076    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:269(__init__)
    30014    0.063    0.000    0.075    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:46(__new__)
    29997    0.060    0.000    0.074    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\results.py:62(__init__)
    60208    0.072    0.000    0.072    0.000 {built-in method __new__ of type object at 0x00007FFF1F8D8D30}
    30003    0.056    0.000    0.072    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\common.py:641(__init__)
    29999    0.061    0.000    0.071    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:353(receive_cluster_time)
30032/30012    0.012    0.000    0.071    0.000 D:\Python_3.7.0\lib\abc.py:141(__subclasscheck__)
      136    0.002    0.000    0.070    0.001 <frozen importlib._bootstrap_external>:793(get_code)
   270680    0.068    0.000    0.068    0.000 {method 'get' of 'dict' objects}
   300040    0.067    0.000    0.067    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:77(__iter__)
    30007    0.059    0.000    0.067    0.000 D:\Python_3.7.0\lib\asyncio\events.py:39(__init__)
    30001    0.017    0.000    0.066    0.000 D:\Python_3.7.0\lib\logging\__init__.py:534(usesTime)
   211971    0.066    0.000    0.066    0.000 {built-in method builtins.hasattr}
    29999    0.052    0.000    0.065    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\thread_util.py:38(acquire)
    30434    0.034    0.000    0.064    0.000 {method 'add' of 'set' objects}
    59994    0.053    0.000    0.064    0.000 D:\Python_3.7.0\lib\asyncio\tasks.py:551(sleep)
    60002    0.041    0.000    0.063    0.000 D:\Python_3.7.0\lib\logging\__init__.py:798(acquire)
    29999    0.045    0.000    0.063    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1591(_send_cluster_time)
        1    0.000    0.000    0.062    0.062 D:\Python_3.7.0\lib\asyncio\__init__.py:1(<module>)
   120012    0.060    0.000    0.060    0.000 {method 'acquire' of '_thread.lock' objects}
    89997    0.059    0.000    0.059    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:250(active)
30032/30012    0.047    0.000    0.059    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.059    0.029 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:1862(create_index)
        2    0.000    0.000    0.059    0.029 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:1832(__create_index)
        2    0.000    0.000    0.055    0.027 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:198(_command)
        1    0.000    0.000    0.054    0.054 D:\Python_3.7.0\lib\site-packages\bson\__init__.py:65(<module>)
    60002    0.054    0.000    0.054    0.000 {built-in method _codecs.charmap_encode}
    30001    0.036    0.000    0.052    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\server_description.py:200(is_server_type_known)
    29997    0.037    0.000    0.051    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:957(retry_writes)
    30001    0.028    0.000    0.049    0.000 D:\Python_3.7.0\lib\logging\__init__.py:380(usesTime)
    29999    0.049    0.000    0.049    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\read_preferences.py:108(document)
    30000    0.046    0.000    0.046    0.000 {method 'unpack' of 'Struct' objects}
    29997    0.045    0.000    0.045    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\server_description.py:204(retryable_writes_supported)
    30001    0.020    0.000    0.045    0.000 D:\Python_3.7.0\lib\threading.py:1038(_wait_for_tstate_lock)
        1    0.000    0.000    0.044    0.044 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:32(<module>)
    30001    0.028    0.000    0.044    0.000 D:\Python_3.7.0\lib\logging\__init__.py:154(<lambda>)
    29997    0.030    0.000    0.042    0.000 D:\Python_3.7.0\lib\site-packages\bson\son.py:62(__delitem__)
   219998    0.042    0.000    0.042    0.000 {built-in method time.monotonic}
    89995    0.041    0.000    0.041    0.000 {built-in method _struct.pack}
    90000    0.041    0.000    0.041    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.041    0.041 D:\Python_3.7.0\lib\site-packages\pymongo\common.py:16(<module>)
   149999    0.041    0.000    0.041    0.000 {built-in method nt.getpid}
232458/232309    0.039    0.000    0.039    0.000 {built-in method builtins.len}
    90008    0.038    0.000    0.038    0.000 {method 'rfind' of 'str' objects}
    60002    0.028    0.000    0.038    0.000 D:\Python_3.7.0\lib\logging\__init__.py:805(release)
    60075    0.038    0.000    0.038    0.000 {method 'replace' of 'str' objects}
    30001    0.023    0.000    0.036    0.000 D:\Python_3.7.0\lib\site-packages\bson\py3compat.py:50(itervalues)
   149991    0.035    0.000    0.035    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\write_concern.py:104(acknowledged)
    30004    0.031    0.000    0.035    0.000 D:\Python_3.7.0\lib\threading.py:1206(current_thread)
    30003    0.020    0.000    0.035    0.000 D:\Python_3.7.0\lib\threading.py:255(_is_owned)
     9999    0.022    0.000    0.035    0.000 hpnorton_products/parallel_database.py:108(<listcomp>)
    29997    0.026    0.000    0.034    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\helpers.py:211(_check_write_command_response)
    89997    0.034    0.000    0.034    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology_description.py:182(logical_session_timeout_minutes)
   179986    0.032    0.000    0.032    0.000 {method 'strip' of 'str' objects}
    29999    0.021    0.000    0.032    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:720(update_last_checkin_time)
   121358    0.032    0.000    0.032    0.000 {built-in method builtins.getattr}
   212443    0.031    0.000    0.031    0.000 {method 'append' of 'list' objects}
    29999    0.031    0.000    0.031    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:116(__init__)
      172    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
    29999    0.030    0.000    0.030    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\message.py:1447(__init__)
    29999    0.019    0.000    0.030    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:753(__hash__)
        1    0.000    0.000    0.030    0.030 D:\Python_3.7.0\lib\asyncio\base_events.py:14(<module>)
      164    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     9999    0.019    0.000    0.030    0.000 hpnorton_products/parallel_database.py:152(<listcomp>)
    29999    0.017    0.000    0.029    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\topology.py:293(get_server_by_address)
    30120    0.029    0.000    0.029    0.000 {method 'split' of 'str' objects}
      136    0.023    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    30000    0.029    0.000    0.029    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\helpers.py:101(_check_command_response)
    30000    0.022    0.000    0.029    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:196(_validate_session_write_concern)
    60002    0.029    0.000    0.029    0.000 D:\Python_3.7.0\lib\logging\__init__.py:697(filter)
    40018    0.027    0.000    0.027    0.000 {built-in method builtins.max}
    60000    0.027    0.000    0.027    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\database.py:155(client)
    29999    0.020    0.000    0.026    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\common.py:682(_write_concern_for)
    30001    0.018    0.000    0.026    0.000 D:\Python_3.7.0\lib\logging\__init__.py:117(getLevelName)
  164/162    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.026    0.026 D:\Python_3.7.0\lib\site-packages\pymongo\client_options.py:15(<module>)
   120446    0.026    0.000    0.026    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.025    0.025 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:15(<module>)
     9999    0.015    0.000    0.025    0.000 hpnorton_products/parallel_database.py:67(<listcomp>)
    30001    0.024    0.000    0.024    0.000 D:\Python_3.7.0\lib\logging\__init__.py:322(getMessage)
    30000    0.024    0.000    0.024    0.000 {method 'unpack_from' of 'Struct' objects}
        1    0.000    0.000    0.024    0.024 D:\Python_3.7.0\lib\asyncio\windows_events.py:1(<module>)
        1    0.000    0.000    0.024    0.024 D:\Python_3.7.0\lib\site-packages\pymongo\auth.py:15(<module>)
    30000    0.023    0.000    0.023    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:691(validate_session)
    60016    0.022    0.000    0.022    0.000 {method 'acquire' of '_thread.RLock' objects}
    60084    0.022    0.000    0.022    0.000 {method 'getrandbits' of '_random.Random' objects}
    29999    0.022    0.000    0.022    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:245(__init__)
      136    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
    30001    0.022    0.000    0.022    0.000 D:\Python_3.7.0\lib\threading.py:1052(name)
        1    0.000    0.000    0.022    0.022 D:\Python_3.7.0\lib\site-packages\bson\objectid.py:17(<module>)
    30002    0.014    0.000    0.022    0.000 D:\Python_3.7.0\lib\ntpath.py:34(_get_bothseps)
    60001    0.022    0.000    0.022    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\common.py:672(write_concern)
       14    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    30002    0.021    0.000    0.021    0.000 {method 'find' of 'str' objects}
       14    0.018    0.001    0.021    0.001 {built-in method _imp.create_dynamic}
    29999    0.020    0.000    0.020    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:477(_advance_cluster_time)
    31503    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
    29998    0.015    0.000    0.019    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:723(idle_time_seconds)
    30002    0.019    0.000    0.019    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1568(isEnabledFor)
    60008    0.018    0.000    0.018    0.000 {built-in method time.time}
    29999    0.017    0.000    0.017    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:658(check_auth)
    60000    0.016    0.000    0.016    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\database.py:160(name)
    30001    0.016    0.000    0.016    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\server_description.py:94(server_type)
    60003    0.016    0.000    0.016    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\common.py:665(codec_options)
        1    0.000    0.000    0.016    0.016 D:\Python_3.7.0\lib\asyncio\windows_utils.py:1(<module>)
    30028    0.015    0.000    0.015    0.000 {built-in method sys._getframe}
      136    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    29997    0.015    0.000    0.015    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_options.py:227(retry_writes)
    90006    0.014    0.000    0.014    0.000 {method 'values' of 'dict' objects}
      136    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
    29997    0.014    0.000    0.014    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\results.py:25(__init__)
        1    0.000    0.000    0.014    0.014 D:\Python_3.7.0\lib\tempfile.py:24(<module>)
        1    0.000    0.000    0.014    0.014 D:\Python_3.7.0\lib\logging\__init__.py:24(<module>)
    34420    0.014    0.000    0.014    0.000 {method 'rstrip' of 'str' objects}
    29999    0.013    0.000    0.013    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:500(_advance_operation_time)
    60637    0.013    0.000    0.013    0.000 {built-in method _thread.get_ident}
    29999    0.012    0.000    0.012    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:383(wait_queue_timeout)
    59996    0.012    0.000    0.012    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\write_concern.py:89(is_server_default)
    29997    0.012    0.000    0.012    0.000 {method 'remove' of 'list' objects}
    30021    0.012    0.000    0.012    0.000 D:\Python_3.7.0\lib\_collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.012    0.012 D:\Python_3.7.0\lib\shutil.py:5(<module>)
    29998    0.011    0.000    0.011    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:363(max_idle_time_seconds)
    59994    0.011    0.000    0.011    0.000 D:\Python_3.7.0\lib\asyncio\tasks.py:539(__sleep0)
  423/422    0.006    0.000    0.011    0.000 {built-in method builtins.__build_class__}
    29999    0.011    0.000    0.011    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\client_session.py:325(cluster_time)
    29999    0.011    0.000    0.011    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\settings.py:89(server_selection_timeout)
        1    0.000    0.000    0.011    0.011 D:\Python_3.7.0\lib\asyncio\coroutines.py:1(<module>)
    30000    0.011    0.000    0.011    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.010    0.010 D:\Python_3.7.0\lib\socket.py:47(<module>)
    29999    0.010    0.000    0.010    0.000 {method 'pop' of 'set' objects}
